"","Year","Area.Code","TA Title","Region Title","Annual GDP Increase Percent_Calc","Annual Enterprise Increase Percent_Calc","Annual Employee Increase Percent_Calc"
"1",2000,"T001",1,"Far North District",0,0,0
"2",2000,"T002",2,"Whangarei District",0,0,0
"3",2000,"T003",3,"Kaipara District",0,0,0
"4",2000,"T011",11,"Thames-Coromandel District",0,0,0
"5",2000,"T012",12,"Hauraki District",0,0,0
"6",2000,"T013",13,"Waikato District",0,0,0
"7",2000,"T015",15,"Matamata-Piako District",0,0,0
"8",2000,"T016",16,"Hamilton City",0,0,0
"9",2000,"T017",17,"Waipa District",0,0,0
"10",2000,"T018",18,"Otorohanga District",0,0,0
"11",2000,"T019",19,"South Waikato District",0,0,0
"12",2000,"T020",20,"Waitomo District",0,0,0
"13",2000,"T021",21,"Taupo District",0,0,0
"14",2000,"T022",22,"Western Bay of Plenty District",0,0,0
"15",2000,"T023",23,"Tauranga City",0,0,0
"16",2000,"T024",24,"Rotorua District",0,0,0
"17",2000,"T025",25,"Whakatane District",0,0,0
"18",2000,"T026",26,"Kawerau District",0,0,0
"19",2000,"T027",27,"Opotiki District",0,0,0
"20",2000,"T028",28,"Gisborne District",0,0,0
"21",2000,"T029",29,"Wairoa District",0,0,0
"22",2000,"T030",30,"Hastings District",0,0,0
"23",2000,"T031",31,"Napier City",0,0,0
"24",2000,"T032",32,"Central Hawke's Bay District",0,0,0
"25",2000,"T033",33,"New Plymouth District",0,0,0
"26",2000,"T034",34,"Stratford District",0,0,0
"27",2000,"T035",35,"South Taranaki District",0,0,0
"28",2000,"T036",36,"Ruapehu District",0,0,0
"29",2000,"T037",37,"Whanganui District",0,0,0
"30",2000,"T038",38,"Rangitikei District",0,0,0
"31",2000,"T039",39,"Manawatu District",0,0,0
"32",2000,"T040",40,"Palmerston North City",0,0,0
"33",2000,"T041",41,"Tararua District",0,0,0
"34",2000,"T042",42,"Horowhenua District",0,0,0
"35",2000,"T043",43,"Kapiti Coast District",0,0,0
"36",2000,"T044",44,"Porirua City",0,0,0
"37",2000,"T045",45,"Upper Hutt City",0,0,0
"38",2000,"T046",46,"Lower Hutt City",0,0,0
"39",2000,"T047",47,"Wellington City",0,0,0
"40",2000,"T048",48,"Masterton District",0,0,0
"41",2000,"T049",49,"Carterton District",0,0,0
"42",2000,"T050",50,"South Wairarapa District",0,0,0
"43",2000,"T051",51,"Tasman District",0,0,0
"44",2000,"T052",52,"Nelson City",0,0,0
"45",2000,"T053",53,"Marlborough District",0,0,0
"46",2000,"T054",54,"Kaikoura District",0,0,0
"47",2000,"T055",55,"Buller District",0,0,0
"48",2000,"T056",56,"Grey District",0,0,0
"49",2000,"T057",57,"Westland District",0,0,0
"50",2000,"T058",58,"Hurunui District",0,0,0
"51",2000,"T059",59,"Waimakariri District",0,0,0
"52",2000,"T060",60,"Christchurch City",0,0,0
"53",2000,"T062",62,"Selwyn District",0,0,0
"54",2000,"T063",63,"Ashburton District",0,0,0
"55",2000,"T064",64,"Timaru District",0,0,0
"56",2000,"T065",65,"Mackenzie District",0,0,0
"57",2000,"T066",66,"Waimate District",0,0,0
"58",2000,"T068",68,"Waitaki District",0,0,0
"59",2000,"T069",69,"Central Otago District",0,0,0
"60",2000,"T070",70,"Queenstown-Lakes District",0,0,0
"61",2000,"T071",71,"Dunedin City",0,0,0
"62",2000,"T072",72,"Clutha District",0,0,0
"63",2000,"T073",73,"Southland District",0,0,0
"64",2000,"T074",74,"Gore District",0,0,0
"65",2000,"T075",75,"Invercargill City",0,0,0
"66",2000,"T076",76,"Auckland",0,0,0
"67",2001,"T001",1,"Far North District",0.117275973101439,-0.00856627592425609,0.0381653833277536
"68",2001,"T002",2,"Whangarei District",0.0952533025443871,-0.00541586073500967,0.00106067034365719
"69",2001,"T003",3,"Kaipara District",0.175339836878299,0.0108481262327416,0.0451888489208633
"70",2001,"T011",11,"Thames-Coromandel District",0.135262819924777,0.0135869565217391,0.0369191597708466
"71",2001,"T012",12,"Hauraki District",0.172517154207295,0.00609013398294762,0.0315765561108587
"72",2001,"T013",13,"Waikato District",0.189594637727418,-0.00176211453744493,0.0100967606226336
"73",2001,"T015",15,"Matamata-Piako District",0.180770132610791,-0.0106761565836299,0.0169252468265162
"74",2001,"T016",16,"Hamilton City",0.0615135593979928,-0.00739644970414201,0.0540405777166437
"75",2001,"T017",17,"Waipa District",0.24613789660954,0.00266951414842499,-0.0471269119470856
"76",2001,"T018",18,"Otorohanga District",0.208758304482081,0.0251798561151079,0.0695557174071377
"77",2001,"T019",19,"South Waikato District",0.197926263911435,-0.0237467018469657,0.0167597765363128
"78",2001,"T020",20,"Waitomo District",0.148542485011371,0.00204918032786885,0.00322740814299901
"79",2001,"T021",21,"Taupo District",0.151025967638194,0.0169779286926995,0.0386044257793571
"80",2001,"T022",22,"Western Bay of Plenty District",0.138716535774721,0.00969529085872576,0.0076113022625378
"81",2001,"T023",23,"Tauranga City",0.0506316230860986,-0.00818897637795276,0.038220193953223
"82",2001,"T024",24,"Rotorua District",0.0811448662190276,-0.020510483135825,0.00564100635553383
"83",2001,"T025",25,"Whakatane District",0.0623071148552839,-0.00780572419774501,0.0246510246510247
"84",2001,"T026",26,"Kawerau District",0.100422694788217,-0.0363636363636364,-0.033033903216459
"85",2001,"T027",27,"Opotiki District",0.145804676753783,0.00574712643678161,0.0257368202573682
"86",2001,"T028",28,"Gisborne District",0.0475305007179678,1.13452914798206,0.00473630993560747
"87",2001,"T029",29,"Wairoa District",0.0855205385891307,0.451162790697674,-0.0149560117302053
"88",2001,"T030",30,"Hastings District",0.113646527241365,35.7846153846154,0.0393452943028014
"89",2001,"T031",31,"Napier City",0.00954079861811778,253.333333333333,-0.0253811741075504
"90",2001,"T032",32,"Central Hawke's Bay District",0.0942503940927571,5.43518518518519,0.0966150705902364
"91",2001,"T033",33,"New Plymouth District",0.240033295548184,4.27209302325581,-0.0158668730650155
"92",2001,"T034",34,"Stratford District",0.160307041940149,6.57575757575758,0.0347582900519377
"93",2001,"T035",35,"South Taranaki District",0.17758876071637,Inf,-0.0335689045936396
"94",2001,"T036",36,"Ruapehu District",0.162001291518095,-0.0128205128205128,-0.0725806451612903
"95",2001,"T037",37,"Whanganui District",0.0249964724908556,-0.0111016225448335,0.0222222222222222
"96",2001,"T038",38,"Rangitikei District",0.112114828435748,-0.0273972602739726,0.0694529809465274
"97",2001,"T039",39,"Manawatu District",0.0932296277559967,0.00635785649409628,0.00128644939965695
"98",2001,"T040",40,"Palmerston North City",0.039905442423105,-0.0101522842639594,0.0101451900929113
"99",2001,"T041",41,"Tararua District",0.100212722557333,0.00803212851405622,-0.00932953826691967
"100",2001,"T042",42,"Horowhenua District",0.128959916392693,0.00220994475138122,0.0181265349081979
"101",2001,"T043",43,"Kapiti Coast District",-0.0137495089461089,-0.0109546165884194,-0.00188264825855036
"102",2001,"T044",44,"Porirua City",0.0253043166939443,-0.00623052959501558,-0.0113462621710791
"103",2001,"T045",45,"Upper Hutt City",-0.0552628120108494,0.200298953662182,0.0533638080095399
"104",2001,"T046",46,"Lower Hutt City",0.0216910685190196,-0.0279206465833946,0.0177888198757764
"105",2001,"T047",47,"Wellington City",0.00839612207353844,-0.0229885057471264,0.0185208255471118
"106",2001,"T048",48,"Masterton District",0.098591834667207,0.0218446601941748,0.011439885601144
"107",2001,"T049",49,"Carterton District",0.137184380504991,0.0127388535031847,0.100617828773169
"108",2001,"T050",50,"South Wairarapa District",0.175526144499891,0.0114942528735632,0.0668868703550785
"109",2001,"T051",51,"Tasman District",0.114125301012466,0.00647820965842167,0.0326633165829146
"110",2001,"T052",52,"Nelson City",0.0435682235603188,0.00850460666194188,0.00238117915991999
"111",2001,"T053",53,"Marlborough District",0.0945572139303482,0.0192083818393481,0.0300245098039216
"112",2001,"T054",54,"Kaikoura District",0.0444444444444443,-0.00518134715025907,0.0665044606650446
"113",2001,"T055",55,"Buller District",0.189782412036376,-0.0256410256410256,0.0435889277760102
"114",2001,"T056",56,"Grey District",0.10199837530463,-0.0209302325581395,-0.00351802990325418
"115",2001,"T057",57,"Westland District",0.122778310669751,0.0188172043010753,0.0245276764998343
"116",2001,"T058",58,"Hurunui District",0.24392608300515,0.0061633281972265,0.0893854748603352
