,Year,Area.Code,TA Title,Region Title,Regional Industry GDP-Annual Total,Business Demography-Annual Total Enterprise Count,Business Demography-Annual Total Employee Count,Household-Average Income,Property-Regional Median Home Price Index,Property-New Building Consents,Property-New Dwelling Units Consents,Property-New Commercial Buildings Consents,Population Estimation - Total,Population Estimation - 0-14 Yrs Old,Population Estimation - 15-39 Yrs Old,Population Estimation - 40-64 Yrs Old,Population Estimation - 65 Yrs Old and over,Property-Total Affiliation,Housing-Average Number of Active Bonds,Housing-Average Median Rent,Employment-Average Filled Jobs,Income-Average Total Earnings Millions,Business Demography-ANZSIC_Ind A_Enterprise Count,Business Demography-ANZSIC_Ind B_Enterprise Count,Business Demography-ANZSIC_Ind C_Enterprise Count,Business Demography-ANZSIC_Ind D_Enterprise Count,Business Demography-ANZSIC_Ind E_Enterprise Count,Business Demography-ANZSIC_Ind F_Enterprise Count,Business Demography-ANZSIC_Ind G_Enterprise Count,Business Demography-ANZSIC_Ind H_Enterprise Count,Business Demography-ANZSIC_Ind I_Enterprise Count,Business Demography-ANZSIC_Ind J_Enterprise Count,Business Demography-ANZSIC_Ind K_Enterprise Count,Business Demography-ANZSIC_Ind L_Enterprise Count,Business Demography-ANZSIC_Ind M_Enterprise Count,Business Demography-ANZSIC_Ind N_Enterprise Count,Business Demography-ANZSIC_Ind O_Enterprise Count,Business Demography-ANZSIC_Ind P_Enterprise Count,Business Demography-ANZSIC_Ind Q_Enterprise Count,Business Demography-ANZSIC_Ind R_Enterprise Count,Business Demography-ANZSIC_Ind S_Enterprise Count,Business Demography-ANZSIC_Ind A_Employee Count,Business Demography-ANZSIC_Ind B_Employee Count,Business Demography-ANZSIC_Ind C_Employee Count,Business Demography-ANZSIC_Ind D_Employee Count,Business Demography-ANZSIC_Ind E_Employee Count,Business Demography-ANZSIC_Ind F_Employee Count,Business Demography-ANZSIC_Ind G_Employee Count,Business Demography-ANZSIC_Ind H_Employee Count,Business Demography-ANZSIC_Ind I_Employee Count,Business Demography-ANZSIC_Ind J_Employee Count,Business Demography-ANZSIC_Ind K_Employee Count,Business Demography-ANZSIC_Ind L_Employee Count,Business Demography-ANZSIC_Ind M_Employee Count,Business Demography-ANZSIC_Ind N_Employee Count,Business Demography-ANZSIC_Ind O_Employee Count,Business Demography-ANZSIC_Ind P_Employee Count,Business Demography-ANZSIC_Ind Q_Employee Count,Business Demography-ANZSIC_Ind R_Employee Count,Business Demography-ANZSIC_Ind S_Employee Count,Local Authority Financial Stat- Total Government Spending,Local Authority Financial Stat- Total Govnerment Investment,Population-Population Projection 2023 Onward,Economy Activities - Annual_Actual_Retail_Sales_Values (million dollars),Regional Industry GDP-Wholesale Trade,"Regional Industry GDP-Transport, Postal And Warehousing",Regional Industry GDP-Retail Trade,"Regional Industry GDP-Rental, Hiring And Real Estate Services",Regional Industry GDP-Public Administration And Safety,"Regional Industry GDP-Professional, Scientific And Technical Services",Regional Industry GDP-Owner Occupied Property Operation,Regional Industry GDP-Manufacturing,"Regional Industry GDP-Information Media, Telecommunications And Other Services",Regional Industry GDP-Health Care And Social Assistance,"Regional Industry GDP-GST On Production, Import Duties and Other Taxes","Regional Industry GDP-Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Regional Industry GDP-Food And Beverage Services,Regional Industry GDP-Financial And Insurance Services,Regional Industry GDP-Education And Training,Regional Industry GDP-Construction,Regional Industry GDP-Agriculture,Regional Industry GDP-Administrative And Support Services,Regional Industry GDP-Accommodation,Economy Activities - GDP per capita (dollars),Tourism-Total International Visits,Regional Economic Statistics-Population Weighted Average Deprivation Index,Employment-Annual Average Unemployment Rate,Employment-Annual Average Employment Rate,
1,1991,T001,1,Far North District,NA,NA,NA,NA,NA,516,432,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,NA,
2,1991,T002,2,Whangarei District,NA,NA,NA,NA,NA,465,417,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,NA,NA,
3,1991,T003,3,Kaipara District,NA,NA,NA,NA,NA,138,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39,NA,NA,
4,1991,T011,11,Thames-Coromandel District,NA,NA,NA,NA,NA,453,405,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,
5,1991,T012,12,Hauraki District,NA,NA,NA,NA,NA,174,135,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32,NA,NA,
6,1991,T013,13,Waikato District,NA,NA,NA,NA,NA,354,234,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74,NA,NA,
7,1991,T015,15,Matamata-Piako District,NA,NA,NA,NA,NA,176,126,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37,NA,NA,
8,1991,T016,16,Hamilton City,NA,NA,NA,NA,NA,538,497,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21,NA,NA,
9,1991,T017,17,Waipa District,NA,NA,NA,NA,NA,241,162,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,
10,1991,T018,18,Otorohanga District,NA,NA,NA,NA,NA,35,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63,NA,NA,
