"","Area.Code","Year","TA Title","Region Title","Regional Industry GDP-Annual Total ($ M)_Scaled","Business Demography-Annual Total Enterprise Count_Scaled","Business Demography-Annual Total Employee Count_Scaled","Household-Average Income ($)_Scaled","Property-Regional Median Home Price Index ($)_Scaled","Property-New Building Consents Count_Scaled","Property-New Dwelling Units Consents Count_Scaled","Property-New Commercial Buildings Consents Count_Scaled","Population Estimation - Total Count_Scaled","Population Estimation - 0-14 Yrs Old Count_Scaled","Population Estimation - 15-39 Yrs Old Count_Scaled","Population Estimation - 40-64 Yrs Old Count_Scaled","Population Estimation - 65 Yrs Old and over Count_Scaled","Housing-Average Number of Active Bonds Count_Scaled","Housing-Average Median Rent ($)_Scaled","Business Demography-ANZSIC_Ind A_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind B_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind C_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind D_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind E_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind F_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind G_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind H_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind I_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind J_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind K_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind L_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind M_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind N_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind O_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind P_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind Q_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind R_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind S_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind A_Employee Count_Scaled","Business Demography-ANZSIC_Ind B_Employee Count_Scaled","Business Demography-ANZSIC_Ind C_Employee Count_Scaled","Business Demography-ANZSIC_Ind D_Employee Count_Scaled","Business Demography-ANZSIC_Ind E_Employee Count_Scaled","Business Demography-ANZSIC_Ind F_Employee Count_Scaled","Business Demography-ANZSIC_Ind G_Employee Count_Scaled","Business Demography-ANZSIC_Ind H_Employee Count_Scaled","Business Demography-ANZSIC_Ind I_Employee Count_Scaled","Business Demography-ANZSIC_Ind J_Employee Count_Scaled","Business Demography-ANZSIC_Ind K_Employee Count_Scaled","Business Demography-ANZSIC_Ind L_Employee Count_Scaled","Business Demography-ANZSIC_Ind M_Employee Count_Scaled","Business Demography-ANZSIC_Ind N_Employee Count_Scaled","Business Demography-ANZSIC_Ind O_Employee Count_Scaled","Business Demography-ANZSIC_Ind P_Employee Count_Scaled","Business Demography-ANZSIC_Ind Q_Employee Count_Scaled","Business Demography-ANZSIC_Ind R_Employee Count_Scaled","Business Demography-ANZSIC_Ind S_Employee Count_Scaled","Local Authority Financial Stat- Total Government Spending ($ K)_Scaled","Local Authority Financial Stat- Total Govnerment Investment ($ K)_Scaled","Regional Industry GDP-Wholesale Trade ($ M)_Scaled","Regional Industry GDP-Transport, Postal And Warehousing ($ M)_Scaled","Regional Industry GDP-Retail Trade ($ M)_Scaled","Regional Industry GDP-Rental, Hiring And Real Estate Services ($ M)_Scaled","Regional Industry GDP-Public Administration And Safety ($ M)_Scaled","Regional Industry GDP-Professional, Scientific And Technical Services ($ M)_Scaled","Regional Industry GDP-Owner Occupied Property Operation ($ M)_Scaled","Regional Industry GDP-Manufacturing ($ M)_Scaled","Regional Industry GDP-Information Media, Telecommunications And Other Services ($ M)_Scaled","Regional Industry GDP-Health Care And Social Assistance ($ M)_Scaled","Regional Industry GDP-GST On Production, Import Duties and Other Taxes ($ M)_Scaled","Regional Industry GDP-Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services ($ M)_Scaled","Regional Industry GDP-Food And Beverage Services ($ M)_Scaled","Regional Industry GDP-Financial And Insurance Services ($ M)_Scaled","Regional Industry GDP-Education And Training ($ M)_Scaled","Regional Industry GDP-Construction ($ M)_Scaled","Regional Industry GDP-Agriculture ($ M)_Scaled","Regional Industry GDP-Administrative And Support Services ($ M)_Scaled","Regional Industry GDP-Accommodation ($ M)_Scaled","Economy Activities - GDP per capita ($)_Scaled","Regional Economic Statistics-Population Weighted Average Deprivation Index_Scaled"
"1","T001",2000,1,"Far North District",0,0.040948275862069,0,0,0,0.448087431693989,0.472289156626506,0.571428571428571,0,1,0.586206896551724,0,0,0,0.00123558484308547,1,1,0,0,0.0984848484848485,0.111111111111111,0.545454545454545,0,0,0,0,0,0,0,0,0.428571428571429,0.307692307692308,0.214285714285714,0,0.470588235294118,0.642857142857143,0.461538461538462,0,0.0571428571428571,0,0.0833333333333333,0,0,0.576923076923077,0.25,0.0714285714285714,0.304347826086957,0.0512820512820513,0,0.375,0,0.210526315789474,0,0.000727693719460808,0,0.0739833414992651,0.0250280164363093,0,0,0,0.00419287211740042,0,0.170102424478154,0,0,0,0.0642939150401837,0,0,0,0,0.275384090133151,0,0,0,0
"2","T002",2000,2,"Whangarei District",0,0.0173697270471464,0,0,0,0.496296296296296,0.512359550561798,0.592592592592593,0,0.0740740740740741,0.0892857142857143,0,0,0,0,1,0,0.0357142857142857,0,0.0160427807486631,0.434782608695652,0.764705882352941,0.0256410256410256,0.238095238095238,0.111111111111111,0.00609756097560976,0,0,0,0,0.0909090909090909,0.0597014925373134,0.0714285714285714,0.0181818181818182,0.222222222222222,0.6,0.263157894736842,0.0588235294117647,0,0.4,0.0555555555555556,0,0.363636363636364,0.764705882352941,0.428571428571429,0,0,0.114285714285714,0,0.037037037037037,0,0.125,0,0.000570538629128145,0,0,0.0604014598540146,0,0,0,0,0.000975805757253977,0,0.00259577515216619,0,0,0,0,0,0,0.00169341492514335,0.0302975326560233,0.0559731328962098,0,0,0
"3","T003",2000,3,"Kaipara District",0,0,0,0,0,0.154929577464789,0.136363636363636,0.714285714285714,0,0.875,0.285714285714286,0,0,0,0.0265334253654767,0.978947368421053,1,0,0.5,0,0.272727272727273,0.272727272727273,0,1,0.25,0,0,0,0,0.666666666666667,0.75,0.333333333333333,0.333333333333333,0.111111111111111,0,0.25,0.540540540540541,0.583333333333333,0.05,0.0384615384615385,0,0,0.444444444444444,0,0.333333333333333,0,0.0416666666666667,0,0,0.294117647058824,0.333333333333333,0,0.5,0.00023530260720886,5.96114063564716e-06,0.0230959582073137,0.1854893908282,0,0,0,0.00441696113074203,0,0,0,0,0,0.289980732177264,0,0.0427509293680297,0,0.0417536534446764,0.0546636085626912,0.00809418690213393,0,0,0
"4","T011",2000,11,"Thames-Coromandel District",0,0,0,0,0,0.401727861771058,0.407228915662651,0.363636363636364,0.0185185185185185,1,1,0,0,0,0,1,1,0,0,0.0337078651685393,0,0.461538461538462,0,0,0,0.0192307692307692,0,0,0,0,0,0.285714285714286,0,0,0.428571428571429,0.75,0.295774647887324,0.0454545454545455,0,0,0,0,0.32,0.806451612903226,0.25,0.333333333333333,0,0.032258064516129,0,0.0625,0,0.153846153846154,0.2,0.000360199629127618,0.00035481628488165,0,0,0,0.397752259956022,0,0.00489853044086776,0.00465219317678336,0.0199816681943171,0,0,0,0,0,0,0,0.094666025949063,0.222395630120952,0,0.0580865603644648,0,0.888888888888889
"5","T012",2000,12,"Hauraki District",0,0.0158730158730159,0,0,0,0.371794871794872,0.380434782608696,0.833333333333333,0.0983606557377049,1,1,0,0,0,0,0.97979797979798,0.333333333333333,0.333333333333333,0,0.166666666666667,0.5,1,0,0,0,0,0,0,0.0833333333333333,0.5,0.666666666666667,0,0,0.111111111111111,0,0.125,0.516129032258065,0.176470588235294,0.222222222222222,0,0.666666666666667,0,1,0.117647058823529,0.1,0.2,0,0.010989010989011,0.2,0.692307692307692,0,0.333333333333333,0,0.0397253464472663,3.93466086005946e-06,0,0.0926966292134832,0,0.0421355039502035,0.223004694835681,0,0.00512656199935918,0,0,0,0,0.00290005178663906,0,0.00763358778625951,0,0,0,0,0.0759493670886076,0,0
"6","T013",2000,13,"Waikato District",0,0.00408997955010225,0,0,0,0.0647887323943662,0.0933977455716586,0.266666666666667,0,0,0.0454545454545455,0,0,0,0.0153695223041686,1,0,0,0.2,0.0510204081632653,0.08,0.137931034482759,0,0.238095238095238,0.1,0,0,0,0.0196078431372549,0,0.0454545454545455,0,0,0,0.529411764705882,0.0666666666666667,0,0,0.012987012987013,0,0.142857142857143,0,0.333333333333333,0,0.444444444444444,0.0731707317073171,0.0147058823529412,0,0.0149253731343284,0.133333333333333,0,0,0.0714285714285714,0.0157989786203,0,0,0.0123456790123457,0,0.138727390180879,0,0.269269850486282,0,0.023926812104152,0,0,0,0,0,0.244541484716157,0.0222193177362437,0.010808872496286,0,0.0539305301645338,0.0296465222348917,0,1
"7","T015",2000,15,"Matamata-Piako District",0,0.103448275862069,0,0,0,0,0.0817843866171004,0.363636363636364,0.0178571428571429,1,0.384615384615385,0,0,0,0,1,0.5,0,0.5,0,0,0.538461538461538,0.166666666666667,0.2,0,0.0175438596491228,0,0,0,0.666666666666667,0.5,0,0.25,0.157894736842105,0,0.285714285714286,0,0.642857142857143,0,0,0.25,0.075,0,0.6,0.142857142857143,0,0,0.184210526315789,0,0.387096774193548,0,0.75,0.45,0.0148309748470114,0.880074786324786,0,0,0.0539906103286386,0.0684786911202005,0,0.053844398813598,0,0,0,0,0,0.0239769820971867,0.0147515527950311,0,0,0,0,0,0.0338345864661654,0,0
"8","T016",2000,16,"Hamilton City",0,0.013550135501355,0,0,0,0.155652173913043,0.141868512110727,0.409090909090909,0,0.0116279069767442,0,0,0,0,0,1,0,0.307692307692308,0.5,0.0941704035874439,0.548387096774194,0.0654205607476635,0,0.862068965517241,0,0,0,0.047244094488189,0.0208333333333333,0.6,0,0.0147058823529412,0,0.025,0.490566037735849,0,0,0.012987012987013,0,0.12,0,0,0.647058823529412,0.761904761904762,0.428571428571429,0,0,0,0,0,0,0.0481927710843374,0,0.00687352935774071,0.135321666255854,0,0,0,0,0,0,0.013121546961326,0,0,0,0,0.120005257623554,0,0,0,0.022741222202987,0.818652849740933,0.0126322977125299,0,0,0
"9","T017",2000,17,"Waipa District",0,0,0.0669406928948914,0,0,0,0,0,0,0.0476190476190476,0.0571428571428571,0,0,0,0.00151240181488206,0.983606557377049,0,0.0555555555555556,0,0.0916030534351145,0,0.255813953488372,0.032258064516129,0.181818181818182,0,0,0,0,0.172413793103448,0.5,0,0,0.08,0.0526315789473684,0.3125,0,0.125,0,0,0.05,0,0.0357142857142857,0.333333333333333,0.6,0.0909090909090909,0.166666666666667,0,0.791666666666667,0,0,0.310344827586207,0,0,0.0475872964809566,0.145641107222399,0,0,0,0.01878612716763,0,0.000905888273779566,0,0,0,0.0116992711929421,0,0,0.0350694444444444,0.0203426124197002,0,0,0.0916322419855929,0.0373242850218129,0,0,0
"10","T018",2000,18,"Otorohanga District",0,0,0,0,0,0.0679611650485437,0,0.666666666666667,0.310606060606061,1,1,0.0192307692307692,0,0,0,0.95,0.5,0,0,0.117647058823529,0.25,1,0.333333333333333,0,0.5,0.04,0,0,0,1,0.5,0,0.333333333333333,0,0.0344827586206897,0.6,0.318181818181818,0.722222222222222,0,0,0,0.25,0.0714285714285714,0,0,0.13953488372093,0,0,0.133333333333333,0,0.333333333333333,0,0.5,0.010727340792418,0.305900621118012,0,0,0,0.00689881734559791,0,0.0319233838786912,0.0309229305423406,0.205871559633028,0,0,0,0,0,0,0.169474727452924,0.0445182724252492,0,0.158878504672897,0,0,0
